time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration
3,9,448,535,1,2410.0,6101,73.63596131781675
4,9,448,535,1,2408.0,6151,73.53974963420582
5,9,448,535,1,2396.0,5983,68.62594016379742
6,9,448,535,1,2377.0,5958,69.84474655924807
7,9,448,535,1,2401.0,6252,77.3486884197057
8,9,448,535,1,2386.0,6428,80.51742377100187
9,9,448,535,1,2407.0,6726,98.48126672613738
10,9,448,535,1,2380.0,7026,124.57472245943637
11,9,448,535,1,2395.0,7210,149.65381414701804
12,9,448,535,1,2392.0,7250,151.2921379310345
13,9,448,535,0,0.0,0,0.0
14,9,448,535,0,0.0,0,0.0
15,9,448,535,0,0.0,0,0.0
16,9,448,535,0,0.0,0,0.0
17,9,448,535,0,0.0,0,0.0
18,9,448,535,0,0.0,0,0.0
19,9,448,535,0,0.0,0,0.0
20,9,448,535,0,0.0,0,0.0
0,10,218,551,1,2209.0,5525,79.30841628959276
1,10,218,551,1,2233.0,5464,80.62646412884334
2,10,218,551,1,2197.0,5482,80.11400948558921
3,10,218,551,1,2227.0,5573,83.785034990131
4,10,218,551,1,2206.0,5494,81.04040771751
5,10,218,551,1,2227.0,5416,80.14180206794683
6,10,218,551,0,0.0,0,0.0
7,10,218,551,0,0.0,0,0.0
8,10,218,551,0,0.0,0,0.0
9,10,218,551,0,0.0,0,0.0
10,10,218,551,0,0.0,0,0.0
11,10,218,551,0,0.0,0,0.0
12,10,218,551,0,0.0,0,0.0
13,10,218,551,0,0.0,0,0.0
14,10,218,551,0,0.0,0,0.0
15,10,218,551,0,0.0,0,0.0
16,10,218,551,0,0.0,0,0.0
17,10,218,551,0,0.0,0,0.0
18,10,218,551,0,0.0,0,0.0
19,10,218,551,0,0.0,0,0.0
20,10,218,551,0,0.0,0,0.0
