Cell ID,mRNA in cytoplasm,mRNA in nucleus,Frame,Image
5,8,2,1,rep1_FOV3.tif
6,7,2,1,rep1_FOV3.tif
7,8,4,1,rep1_FOV3.tif
8,6,0,1,rep1_FOV3.tif
9,5,1,1,rep1_FOV3.tif
10,7,1,1,rep1_FOV3.tif
11,3,1,1,rep1_FOV3.tif
12,5,1,1,rep1_FOV3.tif
13,3,3,1,rep1_FOV3.tif
14,3,1,1,rep1_FOV3.tif
1,6,3,2,rep1_FOV3.tif
2,2,1,2,rep1_FOV3.tif
3,8,2,2,rep1_FOV3.tif
4,5,3,2,rep1_FOV3.tif
5,7,4,2,rep1_FOV3.tif
6,10,3,2,rep1_FOV3.tif
7,6,4,2,rep1_FOV3.tif
8,6,2,2,rep1_FOV3.tif
9,10,2,2,rep1_FOV3.tif
10,7,3,2,rep1_FOV3.tif
11,3,1,2,rep1_FOV3.tif
12,3,0,2,rep1_FOV3.tif
13,3,3,2,rep1_FOV3.tif
14,4,0,2,rep1_FOV3.tif
1,5,2,3,rep1_FOV3.tif
2,3,2,3,rep1_FOV3.tif
3,7,1,3,rep1_FOV3.tif
4,4,2,3,rep1_FOV3.tif
5,1,0,3,rep1_FOV3.tif
6,13,4,3,rep1_FOV3.tif
7,10,3,3,rep1_FOV3.tif
8,1,1,3,rep1_FOV3.tif
9,13,4,3,rep1_FOV3.tif
10,6,1,3,rep1_FOV3.tif
11,3,1,3,rep1_FOV3.tif
12,0,0,3,rep1_FOV3.tif
13,1,1,3,rep1_FOV3.tif
14,2,0,3,rep1_FOV3.tif
1,8,3,4,rep1_FOV3.tif
2,8,3,4,rep1_FOV3.tif
3,7,3,4,rep1_FOV3.tif
4,5,1,4,rep1_FOV3.tif
5,2,0,4,rep1_FOV3.tif
6,9,1,4,rep1_FOV3.tif
7,6,1,4,rep1_FOV3.tif
8,2,1,4,rep1_FOV3.tif
9,8,3,4,rep1_FOV3.tif
10,9,1,4,rep1_FOV3.tif
11,1,0,4,rep1_FOV3.tif
12,1,0,4,rep1_FOV3.tif
13,1,0,4,rep1_FOV3.tif
14,2,0,4,rep1_FOV3.tif
1,5,3,5,rep1_FOV3.tif
2,4,1,5,rep1_FOV3.tif
3,10,1,5,rep1_FOV3.tif
4,2,1,5,rep1_FOV3.tif
5,2,0,5,rep1_FOV3.tif
6,10,3,5,rep1_FOV3.tif
7,0,0,5,rep1_FOV3.tif
8,0,0,5,rep1_FOV3.tif
9,6,3,5,rep1_FOV3.tif
10,12,4,5,rep1_FOV3.tif
11,2,0,5,rep1_FOV3.tif
12,6,5,5,rep1_FOV3.tif
13,1,0,5,rep1_FOV3.tif
14,1,0,5,rep1_FOV3.tif
1,0,0,6,rep1_FOV3.tif
2,2,2,6,rep1_FOV3.tif
3,8,1,6,rep1_FOV3.tif
4,2,1,6,rep1_FOV3.tif
5,1,0,6,rep1_FOV3.tif
6,7,2,6,rep1_FOV3.tif
7,0,0,6,rep1_FOV3.tif
8,0,0,6,rep1_FOV3.tif
9,8,3,6,rep1_FOV3.tif
10,6,4,6,rep1_FOV3.tif
11,2,0,6,rep1_FOV3.tif
12,3,2,6,rep1_FOV3.tif
